,branch,address,city,zip code,ytd,year,month,circulation_count
336,Altgeld,,,,4469,2018,january,327
337,Archer Heights,,,,62312,2018,january,5459
338,Austin,,,,11569,2018,january,0
339,Austin-Irving,,,,108252,2018,january,9333
340,Avalon,,,,39384,2018,january,3644
341,Back of the Yards,,,,26707,2018,january,2083
342,Beverly,,,,54985,2018,january,5775
343,Bezazian,,,,99716,2018,january,8316
344,Blackstone,,,,98515,2018,january,8481
345,Brainerd,,,,9849,2018,january,1192
346,Brighton Park,,,,55383,2018,january,4457
347,Bucktown-Wicker Park,,,,110244,2018,january,9772
348,Budlong Woods,,,,97197,2018,january,8078
349,Canaryville,,,,23079,2018,january,1904
350,Chicago Bee,,,,1190,2018,january,486
351,Chicago Lawn,,,,36537,2018,january,3334
352,Chinatown,,,,114777,2018,january,9237
353,Clearing,,,,33426,2018,january,2860
354,Coleman,,,,29584,2018,january,2943
355,"Daley, Richard J. - Bridgeport",,,,59826,2018,january,5174
356,"Daley, Richard M. - W Humboldt",,,,34098,2018,january,2545
357,Douglass,,,,10456,2018,january,1497
358,Dunning,,,,53934,2018,january,4889
359,Edgebrook,,,,99023,2018,january,8497
360,Edgewater,,,,175094,2018,january,15168
361,Gage Park,,,,15670,2018,january,1857
362,Galewood-Mont Clare,,,,11112,2018,january,1284
363,Garfield Ridge,,,,61290,2018,january,4883
364,Greater Grand Crossing,,,,20689,2018,january,2291
365,Hall,,,,17906,2018,january,1381
366,Harold Washington Library Center,,,,614313,2018,january,56169
367,Hegewisch,,,,20847,2018,january,1998
368,Humboldt Park,,,,59289,2018,january,5371
369,Independence,,,,4,2018,january,0
370,Jefferson Park,,,,85709,2018,january,7231
371,Jeffery Manor,,,,8857,2018,january,786
372,Kelly,,,,6489,2018,january,1050
373,King,,,,27549,2018,january,2701
374,Legler Regional,,,,12228,2018,january,1129
375,Lincoln Belmont,,,,152272,2018,january,12936
376,Lincoln Park,,,,117208,2018,january,9987
377,Little Village,,,,49496,2018,january,4743
378,Logan Square,,,,133666,2018,january,11245
379,Lozano,,,,44697,2018,january,4460
380,Manning,,,,22749,2018,january,2325
381,Mayfair,,,,53062,2018,january,4414
382,McKinley Park,,,,67682,2018,january,5669
383,Merlo,,,,95983,2018,january,7743
384,Mount Greenwood,,,,63331,2018,january,5475
385,Near North,,,,106549,2018,january,9235
386,North Austin,,,,6518,2018,january,0
387,North Pulaski,,,,32944,2018,january,3194
388,Northtown,,,,84462,2018,january,7290
389,Oriole Park,,,,69652,2018,january,6186
390,Portage-Cragin,,,,80258,2018,january,6900
391,Pullman,,,,12608,2018,january,1201
392,Roden,,,,69745,2018,january,5859
393,Rogers Park,,,,123757,2018,january,10567
394,Roosevelt,,,,53367,2018,january,4558
395,Scottsdale,,,,26203,2018,january,2295
396,Sherman Park,,,,8491,2018,january,813
397,South Chicago,,,,21306,2018,january,1638
398,South Shore,,,,32724,2018,january,2464
399,Sulzer Regional,,,,379533,2018,january,33203
400,Thurgood Marshall,,,,20328,2018,january,0
401,Toman,,,,59450,2018,january,5356
402,Uptown,,,,79570,2018,january,6501
403,Vodak-East Side,,,,35364,2018,january,3046
404,Walker,,,,19737,2018,january,1721
405,Water Works,,,,50245,2018,january,4320
406,West Belmont,,,,64530,2018,january,6675
407,West Chicago Avenue,,,,11928,2018,january,1118
408,West Englewood,,,,15715,2018,january,1386
409,West Lawn,,,,40031,2018,january,3602
410,West Pullman,,,,20801,2018,january,2184
411,West Town,,,,61054,2018,january,5613
412,"Whitney M. Young, Jr.",,,,4,2018,january,0
413,Woodson Regional,,,,58920,2018,january,0
414,Wrightwood-Ashburn,,,,20573,2018,january,1581
418,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,93009,2019,january,8214
419,Altgeld,13281 S. Corliss Ave.,Chicago,60827.0,4014,2019,january,378
420,Archer Heights,5055 S. Archer Ave.,Chicago,60632.0,58025,2019,january,5365
421,Austin,5615 W. Race Ave.,Chicago,60644.0,11328,2019,january,215
422,Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634.0,119100,2019,january,9678
423,Avalon,8148 S. Stony Island Ave.,Chicago,60617.0,36480,2019,january,2910
424,Back of the Yards,2111 W. 47th St.,Chicago,60609.0,24465,2019,january,2156
425,Beverly,1962 W. 95th St.,Chicago,60643.0,49151,2019,january,3937
426,Bezazian,1226 W. Ainslie St.,Chicago,60640.0,98356,2019,january,8524
427,Blackstone,4904 S. Lake Park Ave.,Chicago,60615.0,99833,2019,january,7981
428,Brainerd,1350 W. 89th St.,Chicago,60620.0,9204,2019,january,677
429,Brighton Park,4314 S. Archer Ave.,Chicago,60632.0,45008,2019,january,4157
430,Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647.0,109420,2019,january,8642
431,Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659.0,95599,2019,january,8892
432,Canaryville,642 W. 43rd St.,Chicago,60609.0,20111,2019,january,1617
433,Chicago Bee,3647 S. State St.,Chicago,60609.0,10925,2019,january,862
434,Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629.0,28646,2019,january,2521
435,Chinatown,2100 S. Wentworth Ave.,Chicago,60616.0,97309,2019,january,8235
436,Clearing,6423 W. 63rd Pl.,Chicago,60638.0,27959,2019,january,2534
437,Coleman,731 E. 63rd St.,Chicago,60637.0,23206,2019,january,2291
438,"Daley, Richard J. - Bridgeport",3400 S. Halsted St.,Chicago,60608.0,61689,2019,january,5280
439,"Daley, Richard M. - W Humboldt",733 N. Kedzie Ave.,Chicago,60612.0,31014,2019,january,2492
440,Douglass,3353 W. 13th St.,Chicago,60623.0,1250,2019,january,0
441,Dunning,7455 W. Cornelia Ave.,Chicago,60634.0,48246,2019,january,4058
442,Edgebrook,5331 W. Devon Ave.,Chicago,60646.0,104803,2019,january,8719
443,Edgewater,6000 N. Broadway St.,Chicago,60660.0,171399,2019,january,14294
444,Gage Park,2807 W. 55th St.,Chicago,60632.0,14102,2019,january,1012
445,Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707.0,9156,2019,january,749
446,Garfield Ridge,6348 S. Archer Ave.,Chicago,60638.0,53187,2019,january,4409
447,Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619.0,17264,2019,january,1087
448,Hall,4801 S. Michigan Ave.,Chicago,60615.0,16185,2019,january,1075
449,Harold Washington Library Center,400 S. State St.,Chicago,60605.0,581151,2019,january,48072
450,Hegewisch,3048 E. 130th St.,Chicago,60633.0,19052,2019,january,1688
451,Humboldt Park,1605 N. Troy St.,Chicago,60647.0,56569,2019,january,5075
